"","acc.test.mean","mmce.test.mean","auc.test.mean","fn.test.mean","fp.test.mean","tp.test.mean","tn.test.mean","ppv.test.mean","tpr.test.mean","f1.test.mean"
"label1",0.889166666666667,0.110833333333333,0.600874844092425,266,0,0,2134,NA,0,0
"label2",0.736666666666667,0.263333333333333,0.603484231512754,624,8,13,1755,0.619047619047619,0.0204081632653061,0.0395136778115502
"label3",0.711666666666667,0.288333333333333,0.559471917261171,0,692,1708,0,0.711666666666667,1,0.831548198636806
"label4",0.640416666666667,0.359583333333333,0.522219057436343,0,863,1536,1,0.640266777824093,1,0.780686149936468
"label5",0.757083333333333,0.242916666666667,0.504271172488533,583,0,0,1817,NA,0,0
"label6",0.649583333333333,0.350416666666667,0.545690247252748,834,7,6,1553,0.461538461538462,0.00714285714285714,0.0140679953106682
"label7",0.912916666666667,0.0870833333333333,0.555486887418954,209,0,0,2191,NA,0,0
